date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2023-03-01,13.8,14.19,14.17,13.74,1223451.75,0.39,2.83,13.91,13.885,13.979,801465.89,995042.5,1062877.02,0.63
2023-02-28,13.75,13.85,13.78,13.61,607935.94,0.09,0.66,13.88,13.835,14.006,684560.01,997721.72,1084375.51,0.31
2023-02-27,13.75,13.88,13.69,13.68,621461.94,-0.17,-1.23,13.944,13.853,14.066,761071.81,1027921.84,1105503.6,0.32
2023-02-24,14.02,14.03,13.86,13.8,729989.06,-0.19,-1.35,14.036,13.866,14.139,1060017.68,1145781.06,1143146.38,0.38
2023-02-23,14.0,14.32,14.05,13.98,824490.75,0.03,0.21,13.95,13.878,14.203,1097692.6,1157510.52,1137076.43,0.42
2023-02-22,14.0,14.12,14.02,13.94,638922.38,-0.08,-0.57,13.86,13.886,14.255,1188619.1,1158096.44,1127945.65,0.33
2023-02-21,14.06,14.2,14.1,13.92,990494.94,-0.05,-0.35,13.79,13.888,14.309,1310883.43,1159993.46,1131921.23,0.51
2023-02-20,13.5,14.15,14.15,13.49,2116191.25,0.72,5.36,13.762,13.899,14.353,1294771.86,1147890.02,1129188.22,1.09
2023-02-17,13.63,13.72,13.43,13.43,918363.69,-0.17,-1.25,13.696,13.884,14.399,1231544.44,1068031.91,1101380.65,0.47
2023-02-16,13.68,13.91,13.6,13.5,1279123.25,-0.07,-0.51,13.806,13.973,14.475,1217328.44,1100833.84,1102916.75,0.66
2023-02-15,13.95,13.96,13.67,13.62,1250244.0,-0.29,-2.08,13.912,14.073,14.529,1127573.79,1130711.55,1070245.33,0.64
2023-02-14,13.85,13.98,13.96,13.8,909937.12,0.14,1.01,13.986,14.176,14.579,1009103.5,1171029.3,1049261.43,0.47
2023-02-13,13.94,13.94,13.82,13.6,1800054.12,-0.16,-1.14,14.036,14.279,14.603,1001008.17,1183085.37,1067235.75,0.93
2023-02-10,14.1,14.12,13.98,13.86,847283.69,-0.15,-1.06,14.072,14.412,14.652,904519.37,1140511.71,1030116.0,0.44
2023-02-09,14.01,14.3,14.13,13.96,830350.0,0.09,0.64,14.14,14.527,14.684,984339.24,1116642.34,1047539.05,0.43
2023-02-08,14.24,14.32,14.04,14.03,657892.56,-0.17,-1.2,14.234,14.623,14.701,1133849.31,1097794.86,1089292.81,0.34
2023-02-07,14.06,14.32,14.21,14.03,869460.5,0.21,1.5,14.366,14.73,14.715,1332955.1,1103849.01,1165882.3,0.45
2023-02-06,14.1,14.13,14.0,13.86,1317610.12,-0.32,-2.23,14.522,14.806,14.693,1365162.56,1110486.41,1232115.68,0.68
2023-02-03,14.45,14.55,14.32,14.16,1246383.0,-0.28,-1.92,14.752,14.914,14.651,1376504.04,1134729.39,1207136.97,0.64
2023-02-02,14.74,14.78,14.6,14.27,1577900.38,-0.1,-0.68,14.914,14.977,14.587,1248945.45,1104999.67,1178162.32,0.81
2023-02-01,15.03,15.08,14.7,14.51,1653421.5,-0.29,-1.94,15.012,14.984,14.514,1061740.41,1009779.11,1138826.91,0.85
